Epochs,Type,Time
0,GPU,0
50,GPU,45
50,GPU,7.5
50,GPU,13.33
50,GPU,8.75
50,GPU,11.67
50,GPU,8.33
100,GPU,86.67
100,GPU,15.83
100,GPU,25.83
100,GPU,18.33
100,GPU,22.5
100,GPU,15.83
250,GPU,216.67
250,GPU,40
250,GPU,63.33
250,GPU,43.33
250,GPU,55.83
250,GPU,38.33
500,GPU,433.33
500,GPU,80
500,GPU,126.67
500,GPU,87.5
500,GPU,111.67
500,GPU,79.17
1000,GPU,866.67
1000,GPU,158.33
1000,GPU,241.67
1000,GPU,166.67
1000,GPU,216.67
1000,GPU,158.33
0,CPU,0
50,CPU,125
50,CPU,200
50,CPU,175
50,CPU,291.5
50,CPU,250
50,CPU,850
100,CPU,250
100,CPU,400
100,CPU,350
100,CPU,583
100,CPU,500
100,CPU,1700
250,CPU,625
250,CPU,1000
250,CPU,875
250,CPU,1457.5
250,CPU,1250
250,CPU,4250
500,CPU,1250
500,CPU,2000
500,CPU,1750
500,CPU,2915
500,CPU,2500
500,CPU,8500
1000,CPU,2500
1000,CPU,4000
1000,CPU,3500
1000,CPU,5830
1000,CPU,5000
1000,CPU,17000
